term,documentFrequency,termFrequency,score,sourceIds
hypothermic machine perfusion,3,4,8.918121,BK0032;BK0049;BK0070
ischemia reperfusion injury,3,4,8.918121,BK0052;BK0075;BK0332
seminal fluid proteins,3,4,8.918121,BK0098;BK0106;BK0114
base excision,3,5,8.422065,BK0202;BK0293;BK0318
biomarker development,3,5,8.422065,BK0020;BK0057;BK0068
cellular context,3,5,8.422065,BK0006;BK0056;BK0227
csf proteome,3,5,8.422065,BK0027;BK0038;BK0068
cytoskeletal proteins,3,5,8.422065,BK0047;BK0070;BK0083
disease mechanisms,3,5,8.422065,BK0057;BK0186;BK0267
dna polymerase,3,5,8.422065,BK0293;BK0313;BK0318
enzymatic activity,3,5,8.422065,BK0103;BK0338;BK0359
epithelial cells,3,5,8.422065,BK0101;BK0211;BK0330
exchange mass,3,5,8.422065,BK0013;BK0018;BK0042
excision repair,3,5,8.422065,BK0202;BK0293;BK0318
factor inhibiting,3,5,8.422065,BK0268;BK0316;BK0327
gambian children,3,5,8.422065,BK0138;BK0219;BK0239
mitochondrial function,3,5,8.422065,BK0136;BK0148;BK0197
myeloma cells,3,5,8.422065,BK0251;BK0339;BK0342
nucleic acid,3,5,8.422065,BK0068;BK0254;BK0255
phase response,3,5,8.422065,BK0014;BK0088;BK0136
plasma proteomic,3,5,8.422065,BK0014;BK0138;BK0149
repressive complex,3,5,8.422065,BK0167;BK0190;BK0262
squamous cell,3,5,8.422065,BK0065;BK0076;BK0195
usp30 inhibition,3,5,8.422065,BK0018;BK0042;BK0092
acids cell culture,3,3,8.010652,BK0202;BK0243;BK0316
amino acid metabolism,3,3,8.010652,BK0088;BK0174;BK0202
amino acids cell,3,3,8.010652,BK0202;BK0243;BK0316
analyzed tandem mass,3,3,8.010652,BK0218;BK0272;BK0352
area receiver operating,3,3,8.010652,BK0051;BK0093;BK0219
asparaginyl hydroxylase factor,3,3,8.010652,BK0286;BK0316;BK0327
blood mononuclear cells,3,3,8.010652,BK0155;BK0260;BK0333
brain death dbd,3,3,8.010652,BK0047;BK0070;BK0075
cancer cell lines,3,3,8.010652,BK0113;BK0201;BK0229
catalyzes hydroxylation highly,3,3,8.010652,BK0143;BK0273;BK0327
cell cancer hlrcc,3,3,8.010652,BK0229;BK0237;BK0271
cell culture silac,3,3,8.010652,BK0202;BK0243;BK0316
cell receptor tcr,3,3,8.010652,BK0102;BK0369;BK0370
central nervous system,3,3,8.010652,BK0025;BK0093;BK0362
chain assembly complex,3,3,8.010652,BK0115;BK0147;BK0194
colorectal cancer cells,3,3,8.010652,BK0036;BK0208;BK0322
complex mhc class,3,3,8.010652,BK0275;BK0341;BK0357
crude cell extracts,3,3,8.010652,BK0270;BK0339;BK0346
cytotoxic lymphocytes ctls,3,3,8.010652,BK0062;BK0089;BK0218
derivative plasmodium berghei,3,3,8.010652,BK0367;BK0368;BK0369
deubiquitinating enzyme dub,3,3,8.010652,BK0227;BK0234;BK0258
deubiquitylating enzyme dub,3,3,8.010652,BK0056;BK0118;BK0272
disease amyotrophic lateral,3,3,8.010652,BK0057;BK0082;BK0122
donation brain death,3,3,8.010652,BK0047;BK0070;BK0116
electrophoresis mass spectrometry,3,3,8.010652,BK0128;BK0206;BK0329
endoplasmic reticulum membrane,3,3,8.010652,BK0085;BK0117;BK0228
excision repair ber,3,3,8.010652,BK0202;BK0293;BK0318
factor inhibiting hif,3,3,8.010652,BK0268;BK0316;BK0327
fih catalyzes hydroxylation,3,3,8.010652,BK0273;BK0286;BK0327
fluid proteins sfps,3,3,8.010652,BK0098;BK0106;BK0114
future vaccine design,3,3,8.010652,BK0040;BK0080;BK0289
gel electrophoresis mass,3,3,8.010652,BK0128;BK0206;BK0329
gene ontology enrichment,3,3,8.010652,BK0068;BK0079;BK0082
hereditary leiomyomatosis renal,3,3,8.010652,BK0229;BK0237;BK0271
hif asparaginyl hydroxylase,3,3,8.010652,BK0268;BK0316;BK0327
inducible factor hif,3,3,8.010652,BK0273;BK0277;BK0287
ionisation mass spectrometry,3,3,8.010652,BK0282;BK0294;BK0312
joint infection pji,3,3,8.010652,BK0154;BK0172;BK0230
leiomyomatosis renal cell,3,3,8.010652,BK0229;BK0237;BK0271
linear ubiquitin chain,3,3,8.010652,BK0115;BK0147;BK0194
liquid chromatography mass,3,3,8.010652,BK0120;BK0174;BK0242
many cellular processes,3,3,8.010652,BK0094;BK0234;BK0354
mass spectrometry proteins,3,3,8.010652,BK0113;BK0128;BK0134
mass spectrometry proteomics,3,3,8.010652,BK0038;BK0051;BK0295
modification cysteine residues,3,3,8.010652,BK0141;BK0229;BK0271
modification proteins ubiquitin,3,3,8.010652,BK0331;BK0336;BK0354
neurodegenerative disease amyotrophic,3,3,8.010652,BK0057;BK0082;BK0122
normothermic machine perfusion,3,3,8.010652,BK0008;BK0032;BK0075
oxygen species ros,3,3,8.010652,BK0078;BK0141;BK0148
peripheral blood mononuclear,3,3,8.010652,BK0155;BK0260;BK0333
photoreactive derivative plasmodium,3,3,8.010652,BK0367;BK0368;BK0369
posttranslational modification proteins,3,3,8.010652,BK0141;BK0152;BK0187
proteasome inhibitor bortezomib,3,3,8.010652,BK0334;BK0339;BK0342
protein arginine methyltransferase,3,3,8.010652,BK0233;BK0252;BK0319
proteomic sample preparation,3,3,8.010652,BK0056;BK0189;BK0207
receptor tcr ligand,3,3,8.010652,BK0366;BK0369;BK0370
renal cell cancer,3,3,8.010652,BK0229;BK0237;BK0271
repeat domain ard,3,3,8.010652,BK0273;BK0286;BK0316
report crystal structure,3,3,8.010652,BK0025;BK0195;BK0213
response dna damage,3,3,8.010652,BK0253;BK0293;BK0319
sample preparation gasp,3,3,8.010652,BK0159;BK0189;BK0207
sites dna damage,3,3,8.010652,BK0069;BK0142;BK0157
squamous cell carcinoma,3,3,8.010652,BK0065;BK0076;BK0195
stem cells escs,3,3,8.010652,BK0167;BK0180;BK0246
ubiquitin chain assembly,3,3,8.010652,BK0115;BK0147;BK0194
ubiquitin specific proteases,3,3,8.010652,BK0323;BK0345;BK0348
activation domain,3,4,7.754888,BK0273;BK0277;BK0279
active probe,3,4,7.754888,BK0339;BK0342;BK0363
adaptor protein,3,4,7.754888,BK0010;BK0196;BK0265
alternative splicing,3,4,7.754888,BK0224;BK0245;BK0353
antibody responses,3,4,7.754888,BK0080;BK0151;BK0217
antigenic peptides,3,4,7.754888,BK0324;BK0361;BK0366
broad spectrum,3,4,7.754888,BK0093;BK0171;BK0217
cell types,3,4,7.754888,BK0031;BK0098;BK0314
chemical proteomics,3,4,7.754888,BK0272;BK0307;BK0348
chromatin accessibility,3,4,7.754888,BK0048;BK0059;BK0084
clinical management,3,4,7.754888,BK0093;BK0149;BK0219
ctl clones,3,4,7.754888,BK0368;BK0369;BK0370
damage response,3,4,7.754888,BK0004;BK0158;BK0253
damaged mitochondria,3,4,7.754888,BK0042;BK0092;BK0300
diagnostic performance,3,4,7.754888,BK0093;BK0239;BK0266
differentially regulated,3,4,7.754888,BK0138;BK0164;BK0281
disease controls,3,4,7.754888,BK0027;BK0063;BK0122
efficiency antigen,3,4,7.754888,BK0289;BK0368;BK0370
end resection,3,4,7.754888,BK0026;BK0069;BK0178
endothelial cells,3,4,7.754888,BK0031;BK0148;BK0305
enzyme family,3,4,7.754888,BK0018;BK0169;BK0359
factor fih,3,4,7.754888,BK0273;BK0279;BK0316
fatty acid,3,4,7.754888,BK0043;BK0136;BK0208
feedback loop,3,4,7.754888,BK0133;BK0242;BK0291
fih catalyzes,3,4,7.754888,BK0273;BK0286;BK0327
fluid proteins,3,4,7.754888,BK0098;BK0106;BK0114
homologous recombination,3,4,7.754888,BK0026;BK0071;BK0216
human cell,3,4,7.754888,BK0260;BK0314;BK0318
hypothermic machine,3,4,7.754888,BK0032;BK0049;BK0070
hypoxic response,3,4,7.754888,BK0223;BK0288;BK0315
inflammatory bowel,3,4,7.754888,BK0061;BK0101;BK0182
inhibitor treatment,3,4,7.754888,BK0074;BK0076;BK0232
ischemia reperfusion,3,4,7.754888,BK0052;BK0075;BK0332
lysine residue,3,4,7.754888,BK0143;BK0278;BK0280
machine learning,3,4,7.754888,BK0003;BK0037;BK0038
maintaining genome,3,4,7.754888,BK0110;BK0216;BK0293
membrane protein,3,4,7.754888,BK0068;BK0117;BK0125
membrane proteins,3,4,7.754888,BK0068;BK0120;BK0125
mrn complex,3,4,7.754888,BK0069;BK0158;BK0216
mrna processing,3,4,7.754888,BK0083;BK0104;BK0224
muscle mass,3,4,7.754888,BK0028;BK0304;BK0329
pathogenesis als,3,4,7.754888,BK0057;BK0068;BK0079
patient samples,3,4,7.754888,BK0038;BK0081;BK0200
peptides bound,3,4,7.754888,BK0176;BK0218;BK0327
physiologically relevant,3,4,7.754888,BK0031;BK0278;BK0346
plasma patients,3,4,7.754888,BK0255;BK0259;BK0294
protein complex,3,4,7.754888,BK0010;BK0117;BK0306
protein identification,3,4,7.754888,BK0263;BK0266;BK0337
protein ubiquitylation,3,4,7.754888,BK0108;BK0192;BK0216
proteins sfps,3,4,7.754888,BK0098;BK0106;BK0114
proteolytic fragments,3,4,7.754888,BK0047;BK0186;BK0298
proteomic metabolomic,3,4,7.754888,BK0136;BK0197;BK0257
proteomic sample,3,4,7.754888,BK0056;BK0189;BK0207
required normal,3,4,7.754888,BK0190;BK0231;BK0365
samples collected,3,4,7.754888,BK0014;BK0049;BK0051
sup sup,3,4,7.754888,BK0015;BK0040;BK0080
suppressor protein,3,4,7.754888,BK0162;BK0280;BK0319
target gene,3,4,7.754888,BK0059;BK0301;BK0319
tissue damage,3,4,7.754888,BK0052;BK0055;BK0138
transcriptional activity,3,4,7.754888,BK0077;BK0268;BK0273
tumour suppressor,3,4,7.754888,BK0165;BK0280;BK0319
ubiquitin hydrolase,3,4,7.754888,BK0025;BK0027;BK0142
ubiquitin ubl,3,4,7.754888,BK0002;BK0323;BK0348
upregulation proteins,3,4,7.754888,BK0014;BK0020;BK0312
spinal cord,2,11,7.400879,BK0020;BK0063
abundant proteins,3,3,6.965784,BK0070;BK0189;BK0266
acids cell,3,3,6.965784,BK0202;BK0243;BK0316
acquisition dia,3,3,6.965784,BK0027;BK0038;BK0046
activity hif,3,3,6.965784,BK0277;BK0286;BK0288
activity proteasome,3,3,6.965784,BK0324;BK0342;BK0349
acts negative,3,3,6.965784,BK0147;BK0279;BK0291
age years,3,3,6.965784,BK0139;BK0171;BK0172
alpha beta,3,3,6.965784,BK0087;BK0121;BK0341
alpha enolase,3,3,6.965784,BK0151;BK0181;BK0206
altered expression,3,3,6.965784,BK0045;BK0083;BK0303
analyzed tandem,3,3,6.965784,BK0218;BK0272;BK0352
antigen hla,3,3,6.965784,BK0125;BK0204;BK0312
apoptosis cells,3,3,6.965784,BK0232;BK0251;BK0334
area receiver,3,3,6.965784,BK0051;BK0093;BK0219
arginine methyltransferase,3,3,6.965784,BK0233;BK0252;BK0319
aspects cell,3,3,6.965784,BK0117;BK0179;BK0309
assembly complex,3,3,6.965784,BK0115;BK0147;BK0194
atp production,3,3,6.965784,BK0136;BK0160;BK0203
beta production,3,3,6.965784,BK0009;BK0030;BK0112
beta subunit,3,3,6.965784,BK0134;BK0303;BK0312
binding proteins,3,3,6.965784,BK0084;BK0331;BK0338
blood cell,3,3,6.965784,BK0120;BK0124;BK0164
blood mononuclear,3,3,6.965784,BK0155;BK0260;BK0333
budding yeast,3,3,6.965784,BK0099;BK0276;BK0296
cancer hlrcc,3,3,6.965784,BK0229;BK0237;BK0271
cancer patients,3,3,6.965784,BK0003;BK0037;BK0113
cancer res,3,3,6.965784,BK0155;BK0158;BK0196
cancer therapy,3,3,6.965784,BK0090;BK0132;BK0272
cell biology,3,3,6.965784,BK0066;BK0072;BK0336
cell cancer,3,3,6.965784,BK0229;BK0237;BK0271
cell carcinoma,3,3,6.965784,BK0065;BK0076;BK0195
cell maturation,3,3,6.965784,BK0072;BK0102;BK0349
cell migration,3,3,6.965784,BK0113;BK0126;BK0209
cell phenotype,3,3,6.965784,BK0208;BK0305;BK0326
cells cells,3,3,6.965784,BK0010;BK0334;BK0349
cells escs,3,3,6.965784,BK0167;BK0180;BK0246
cells exposed,3,3,6.965784,BK0212;BK0303;BK0342
cells lack,3,3,6.965784,BK0084;BK0119;BK0365
cells order,3,3,6.965784,BK0073;BK0228;BK0282
cells treated,3,3,6.965784,BK0100;BK0212;BK0347
cellular dysfunction,3,3,6.965784,BK0068;BK0263;BK0303
cellular homeostasis,3,3,6.965784,BK0141;BK0153;BK0331
cellular proliferation,3,3,6.965784,BK0162;BK0175;BK0357
cellular proteins,3,3,6.965784,BK0091;BK0165;BK0282
cellular responses,3,3,6.965784,BK0055;BK0178;BK0182
cellular stress,3,3,6.965784,BK0008;BK0047;BK0212
central nervous,3,3,6.965784,BK0025;BK0093;BK0362
chain assembly,3,3,6.965784,BK0115;BK0147;BK0194
changes expression,3,3,6.965784,BK0241;BK0303;BK0308
changes proteins,3,3,6.965784,BK0243;BK0308;BK0329
circulatory death,3,3,6.965784,BK0047;BK0049;BK0075
class molecules,3,3,6.965784,BK0010;BK0275;BK0324
clinical outcome,3,3,6.965784,BK0023;BK0138;BK0252
complex formation,3,3,6.965784,BK0042;BK0046;BK0087
complex required,3,3,6.965784,BK0090;BK0194;BK0216
containing protein,3,3,6.965784,BK0020;BK0169;BK0224
controlling cell,3,3,6.965784,BK0107;BK0179;BK0296
csf samples,3,3,6.965784,BK0068;BK0093;BK0122
culture silac,3,3,6.965784,BK0202;BK0243;BK0316
cytosolic proteolysis,3,3,6.965784,BK0361;BK0364;BK0365
death dbd,3,3,6.965784,BK0047;BK0070;BK0075
derivative plasmodium,3,3,6.965784,BK0367;BK0368;BK0369
derived proteins,3,3,6.965784,BK0088;BK0108;BK0254
describe synthesis,3,3,6.965784,BK0339;BK0350;BK0355
detection quantification,3,3,6.965784,BK0043;BK0063;BK0174
development small,3,3,6.965784,BK0096;BK0156;BK0223
diagnosis management,3,3,6.965784,BK0093;BK0219;BK0254
disease activity,3,3,6.965784,BK0057;BK0236;BK0257
disease amyotrophic,3,3,6.965784,BK0057;BK0082;BK0122
disease progression,3,3,6.965784,BK0122;BK0124;BK0175
disease states,3,3,6.965784,BK0025;BK0087;BK0281
diseases cancer,3,3,6.965784,BK0025;BK0125;BK0165
diverse cellular,3,3,6.965784,BK0196;BK0225;BK0252
domain ard,3,3,6.965784,BK0273;BK0286;BK0316
domain containing,3,3,6.965784,BK0048;BK0213;BK0224
donation brain,3,3,6.965784,BK0047;BK0070;BK0116
donor kidney,3,3,6.965784,BK0047;BK0070;BK0116
drosophila model,3,3,6.965784,BK0177;BK0189;BK0356
drug development,3,3,6.965784,BK0256;BK0272;BK0336
drug discovery,3,3,6.965784,BK0046;BK0056;BK0256
dsb repair,3,3,6.965784,BK0026;BK0110;BK0142
effector functions,3,3,6.965784,BK0034;BK0097;BK0155
electrophilic trap,3,3,6.965784,BK0258;BK0307;BK0354
electrophoresis mass,3,3,6.965784,BK0128;BK0206;BK0329
elucidate molecular,3,3,6.965784,BK0042;BK0104;BK0214
enriched proteins,3,3,6.965784,BK0005;BK0079;BK0212
essential dna,3,3,6.965784,BK0119;BK0184;BK0269
exhibited rapid,3,3,6.965784,BK0261;BK0368;BK0370
extensively studied,3,3,6.965784,BK0036;BK0073;BK0322
factor prolyl,3,3,6.965784,BK0223;BK0225;BK0288
falciparum malaria,3,3,6.965784,BK0219;BK0239;BK0266
family members,3,3,6.965784,BK0033;BK0041;BK0246
family ubiquitin,3,3,6.965784,BK0033;BK0126;BK0345
fate function,3,3,6.965784,BK0091;BK0179;BK0323
feedback mechanism,3,3,6.965784,BK0094;BK0240;BK0285
flow cytometry,3,3,6.965784,BK0102;BK0140;BK0341
fluid samples,3,3,6.965784,BK0081;BK0124;BK0171
function deubiquitinating,3,3,6.965784,BK0045;BK0285;BK0317
functionally relevant,3,3,6.965784,BK0027;BK0175;BK0187
future vaccine,3,3,6.965784,BK0040;BK0080;BK0289
gene isg15,3,3,6.965784,BK0009;BK0045;BK0058
gene ontology,3,3,6.965784,BK0068;BK0079;BK0082
gene promoters,3,3,6.965784,BK0127;BK0175;BK0262
genome instability,3,3,6.965784,BK0090;BK0146;BK0212
glucose metabolism,3,3,6.965784,BK0075;BK0112;BK0138
heat shock,3,3,6.965784,BK0303;BK0308;BK0334
hereditary leiomyomatosis,3,3,6.965784,BK0229;BK0237;BK0271
hif asparaginyl,3,3,6.965784,BK0268;BK0316;BK0327
hif fih,3,3,6.965784,BK0286;BK0316;BK0327
highly dynamic,3,3,6.965784,BK0118;BK0121;BK0211
highly selective,3,3,6.965784,BK0147;BK0156;BK0324
highly sensitive,3,3,6.965784,BK0063;BK0174;BK0333
human disease,3,3,6.965784,BK0043;BK0057;BK0249
human primary,3,3,6.965784,BK0079;BK0113;BK0176
human protein,3,3,6.965784,BK0060;BK0195;BK0269
hydroxylase factor,3,3,6.965784,BK0286;BK0316;BK0327
hydroxylation occurs,3,3,6.965784,BK0264;BK0273;BK0279
hypoxic stress,3,3,6.965784,BK0095;BK0245;BK0335
ifn gamma,3,3,6.965784,BK0072;BK0112;BK0131
immune escape,3,3,6.965784,BK0040;BK0066;BK0361
incompletely understood,3,3,6.965784,BK0117;BK0191;BK0301
increased abundance,3,3,6.965784,BK0020;BK0100;BK0122
increased expression,3,3,6.965784,BK0084;BK0123;BK0240
increased protein,3,3,6.965784,BK0252;BK0286;BK0318
infection pji,3,3,6.965784,BK0154;BK0172;BK0230
inflammatory diseases,3,3,6.965784,BK0009;BK0067;BK0275
ingenuity pathway,3,3,6.965784,BK0255;BK0282;BK0312
inhibiting hif,3,3,6.965784,BK0268;BK0316;BK0327
inhibitor bortezomib,3,3,6.965784,BK0334;BK0339;BK0342
inhibitor development,3,3,6.965784,BK0105;BK0256;BK0272
injury iri,3,3,6.965784,BK0049;BK0052;BK0136
innate immunity,3,3,6.965784,BK0062;BK0163;BK0356
involved controlling,3,3,6.965784,BK0091;BK0192;BK0276
involved glucose,3,3,6.965784,BK0075;BK0112;BK0308
involved processes,3,3,6.965784,BK0169;BK0179;BK0295
ionisation mass,3,3,6.965784,BK0282;BK0294;BK0312
kidney biopsies,3,3,6.965784,BK0047;BK0075;BK0116
largely unknown,3,3,6.965784,BK0084;BK0137;BK0252
leads defective,3,3,6.965784,BK0069;BK0192;BK0300
led increased,3,3,6.965784,BK0100;BK0200;BK0326
leiomyomatosis renal,3,3,6.965784,BK0229;BK0237;BK0271
less known,3,3,6.965784,BK0036;BK0208;BK0361
linear ubiquitin,3,3,6.965784,BK0115;BK0147;BK0194
lymphocytes ctls,3,3,6.965784,BK0062;BK0089;BK0218
malaria infection,3,3,6.965784,BK0137;BK0239;BK0266
malate dehydrogenase,3,3,6.965784,BK0044;BK0075;BK0303
mammalian cells,3,3,6.965784,BK0073;BK0324;BK0363
many cellular,3,3,6.965784,BK0094;BK0234;BK0354
matrix ecm,3,3,6.965784,BK0113;BK0150;BK0242
mechanisms underlie,3,3,6.965784,BK0005;BK0233;BK0252
mechanisms underlying,3,3,6.965784,BK0011;BK0013;BK0146
mechanistic insights,3,3,6.965784,BK0024;BK0042;BK0214
median age,3,3,6.965784,BK0023;BK0172;BK0230
min warm,3,3,6.965784,BK0032;BK0049;BK0136
modification cysteine,3,3,6.965784,BK0141;BK0229;BK0271
mononuclear cells,3,3,6.965784,BK0155;BK0260;BK0333
mouse models,3,3,6.965784,BK0148;BK0242;BK0267
mrna expression,3,3,6.965784,BK0104;BK0221;BK0308
multiple proteins,3,3,6.965784,BK0237;BK0303;BK0308
myocardial infarction,3,3,6.965784,BK0023;BK0149;BK0335
negatively regulates,3,3,6.965784,BK0092;BK0164;BK0273
normal tissues,3,3,6.965784,BK0132;BK0174;BK0271
normothermic machine,3,3,6.965784,BK0008;BK0032;BK0075
nuclear transfer,3,3,6.965784,BK0140;BK0261;BK0267
number proteins,3,3,6.965784,BK0137;BK0159;BK0179
odds ratio,3,3,6.965784,BK0020;BK0093;BK0145
ontology enrichment,3,3,6.965784,BK0068;BK0079;BK0082
open reading,3,3,6.965784,BK0209;BK0352;BK0373
ovarian tumor,3,3,6.965784,BK0211;BK0213;BK0348
oxidative phosphorylation,3,3,6.965784,BK0036;BK0097;BK0203
pave way,3,3,6.965784,BK0042;BK0107;BK0283
photoreactive derivative,3,3,6.965784,BK0367;BK0368;BK0369
play critical,3,3,6.965784,BK0105;BK0220;BK0246
plays critical,3,3,6.965784,BK0134;BK0198;BK0369
porcine kidneys,3,3,6.965784,BK0032;BK0049;BK0052
posttranslational hydroxylation,3,3,6.965784,BK0223;BK0225;BK0288
posttranslational modifications,3,3,6.965784,BK0002;BK0086;BK0249
potent selective,3,3,6.965784,BK0096;BK0103;BK0105
potential development,3,3,6.965784,BK0227;BK0241;BK0272
potential therapeutic,3,3,6.965784,BK0009;BK0132;BK0157
powerful tool,3,3,6.965784,BK0013;BK0255;BK0312
prc1 prc2,3,3,6.965784,BK0180;BK0190;BK0231
preparation gasp,3,3,6.965784,BK0159;BK0189;BK0207
presence absence,3,3,6.965784,BK0212;BK0321;BK0342
primary structure,3,3,6.965784,BK0359;BK0372;BK0373
processes cell,3,3,6.965784,BK0004;BK0169;BK0354
progenitor cells,3,3,6.965784,BK0007;BK0101;BK0200
prolyl hydroxylases,3,3,6.965784,BK0225;BK0268;BK0287
proteases specific,3,3,6.965784,BK0323;BK0348;BK0355
proteasome inhibition,3,3,6.965784,BK0108;BK0158;BK0364
protein homeostasis,3,3,6.965784,BK0005;BK0028;BK0082
protein keap1,3,3,6.965784,BK0133;BK0229;BK0287
protein networks,3,3,6.965784,BK0039;BK0045;BK0100
protein profiles,3,3,6.965784,BK0020;BK0070;BK0303
protein substrates,3,3,6.965784,BK0045;BK0091;BK0364
protein ubiquitination,3,3,6.965784,BK0091;BK0249;BK0313
proteins altered,3,3,6.965784,BK0086;BK0088;BK0197
proteins ubiquitin,3,3,6.965784,BK0331;BK0336;BK0354
proteome composition,3,3,6.965784,BK0021;BK0086;BK0098
proteomic performed,3,3,6.965784,BK0082;BK0116;BK0210
proteomic profiling,3,3,6.965784,BK0014;BK0137;BK0138
proteomic screen,3,3,6.965784,BK0199;BK0229;BK0302
proteomic workflow,3,3,6.965784,BK0005;BK0085;BK0248
proteomics applications,3,3,6.965784,BK0295;BK0336;BK0337
range proteins,3,3,6.965784,BK0087;BK0266;BK0316
receptor signaling,3,3,6.965784,BK0034;BK0129;BK0194
reduced sensitivity,3,3,6.965784,BK0017;BK0196;BK0268
regulation cellular,3,3,6.965784,BK0231;BK0265;BK0269
regulatory mechanisms,3,3,6.965784,BK0010;BK0317;BK0361
renal cell,3,3,6.965784,BK0229;BK0237;BK0271
renal cysts,3,3,6.965784,BK0237;BK0271;BK0287
repair ber,3,3,6.965784,BK0202;BK0293;BK0318
repair pathways,3,3,6.965784,BK0026;BK0110;BK0158
replication fork,3,3,6.965784,BK0099;BK0178;BK0184
report crystal,3,3,6.965784,BK0025;BK0195;BK0213
report development,3,3,6.965784,BK0096;BK0155;BK0324
residues proteins,3,3,6.965784,BK0002;BK0169;BK0245
response dna,3,3,6.965784,BK0253;BK0293;BK0319
reticulum membrane,3,3,6.965784,BK0085;BK0117;BK0228
ribosomal protein,3,3,6.965784,BK0223;BK0225;BK0264
risk factor,3,3,6.965784,BK0055;BK0151;BK0206
rna sequencing,3,3,6.965784,BK0011;BK0016;BK0077
schizosaccharomyces pombe,3,3,6.965784,BK0223;BK0225;BK0372
sensitive specific,3,3,6.965784,BK0063;BK0093;BK0229
sequence motifs,3,3,6.965784,BK0157;BK0226;BK0372
sera patients,3,3,6.965784,BK0128;BK0181;BK0210
serum amyloid,3,3,6.965784,BK0257;BK0263;BK0298
serum patients,3,3,6.965784,BK0050;BK0236;BK0257
signal peptide,3,3,6.965784,BK0228;BK0325;BK0373
signaling cascades,3,3,6.965784,BK0129;BK0191;BK0255
signalling pathway,3,3,6.965784,BK0032;BK0085;BK0320
small gtpase,3,3,6.965784,BK0029;BK0118;BK0306
species ros,3,3,6.965784,BK0078;BK0141;BK0148
specific photoreactive,3,3,6.965784,BK0367;BK0368;BK0369
specific proteins,3,3,6.965784,BK0081;BK0224;BK0355
spectrometry proteins,3,3,6.965784,BK0113;BK0128;BK0134
spectrometry proteomics,3,3,6.965784,BK0038;BK0051;BK0295
stable complex,3,3,6.965784,BK0074;BK0121;BK0225
structural basis,3,3,6.965784,BK0041;BK0317;BK0366
structural functional,3,3,6.965784,BK0005;BK0187;BK0356
substrate proteins,3,3,6.965784,BK0062;BK0280;BK0354
substrate recognition,3,3,6.965784,BK0001;BK0004;BK0280
substrates vitro,3,3,6.965784,BK0009;BK0044;BK0286
superoxide dismutase,3,3,6.965784,BK0020;BK0044;BK0308
suppressor p53,3,3,6.965784,BK0155;BK0165;BK0261
tcr ligand,3,3,6.965784,BK0366;BK0369;BK0370
therapeutic interventions,3,3,6.965784,BK0061;BK0108;BK0186
tightly regulated,3,3,6.965784,BK0062;BK0343;BK0349
total unique,3,3,6.965784,BK0159;BK0182;BK0282
treatment cancer,3,3,6.965784,BK0132;BK0227;BK0351
type interferon,3,3,6.965784,BK0009;BK0043;BK0133
ubiquitin binding,3,3,6.965784,BK0042;BK0213;BK0249
ubiquitin proteins,3,3,6.965784,BK0165;BK0256;BK0348
unbiased proteomic,3,3,6.965784,BK0121;BK0220;BK0308
understanding disease,3,3,6.965784,BK0039;BK0186;BK0267
versus control,3,3,6.965784,BK0095;BK0104;BK0241
vinyl methyl,3,3,6.965784,BK0317;BK0357;BK0364
vitro vivo,3,3,6.965784,BK0069;BK0155;BK0247
hdac inhibitors,2,9,6.918863,BK0196;BK0232
stalled replication forks,2,6,6.9,BK0071;BK0178
lung cancer,2,8,6.643856,BK0003;BK0037
pol beta,2,8,6.643856,BK0293;BK0318
proteins unique,2,8,6.643856,BK0263;BK0281
central proteomics facilities,2,5,6.456916,BK0274;BK0297
periprosthetic joint infection,2,5,6.456916,BK0154;BK0172
prostate cancer cell,2,5,6.456916,BK0211;BK0321
proteomics facilities pipeline,2,5,6.456916,BK0274;BK0297
adipose tissue,2,7,6.33985,BK0198;BK0308
cerebral malaria,2,7,6.33985,BK0137;BK0138
end joining,2,7,6.33985,BK0026;BK0119
muscle cell,2,7,6.33985,BK0016;BK0045
complex dissociation,2,6,6.0,BK0368;BK0370
mutant cells,2,6,6.0,BK0036;BK0135
response hdac,2,6,6.0,BK0158;BK0232
stalled replication,2,6,6.0,BK0071;BK0178
frequency serial tcr,2,4,5.945414,BK0368;BK0370
hif1 alpha dependent,2,4,5.945414,BK0208;BK0209
histone lysine demethylases,2,4,5.945414,BK0105;BK0156
peripheral blood cells,2,4,5.945414,BK0050;BK0164
serial tcr engagement,2,4,5.945414,BK0368;BK0370
als patients,2,5,5.61471,BK0068;BK0082
ard proteins,2,5,5.61471,BK0286;BK0327
btr complex,2,5,5.61471,BK0024;BK0071
cd8 cell,2,5,5.61471,BK0040;BK0125
central proteomics,2,5,5.61471,BK0274;BK0297
facilities pipeline,2,5,5.61471,BK0274;BK0297
growth hormone,2,5,5.61471,BK0129;BK0291
liver metastases,2,5,5.61471,BK0113;BK0123
lysyl hydroxylation,2,5,5.61471,BK0143;BK0226
patients healthy,2,5,5.61471,BK0255;BK0257
patients undergoing,2,5,5.61471,BK0023;BK0198
periprosthetic joint,2,5,5.61471,BK0154;BK0172
protein synthesis,2,5,5.61471,BK0263;BK0351
proteomics facilities,2,5,5.61471,BK0274;BK0297
rna splicing,2,5,5.61471,BK0011;BK0315
sperm seminal,2,5,5.61471,BK0086;BK0106
tcr engagement,2,5,5.61471,BK0368;BK0370
tgf beta,2,5,5.61471,BK0032;BK0094
transgenic pigs,2,5,5.61471,BK0171;BK0260
