term,documentFrequency,termFrequency,documentShare,score,sourceIds
women,7,9,0.018767,24.216021,BK0011;BK0078;BK0081;BK0154;BK0230;BK0263;BK0292
neurons,6,14,0.016086,24.0,BK0079;BK0082;BK0177;BK0210;BK0247;BK0362
hdac,5,25,0.013405,23.774438,BK0084;BK0158;BK0196;BK0232;BK0251
sperm,5,25,0.013405,23.774438,BK0064;BK0086;BK0098;BK0106;BK0114
malaria,5,24,0.013405,23.502199,BK0137;BK0138;BK0219;BK0239;BK0266
coli,6,13,0.016086,23.441344,BK0006;BK0163;BK0264;BK0337;BK0343;BK0354
macrophages,6,13,0.016086,23.441344,BK0050;BK0058;BK0061;BK0112;BK0133;BK0298
repressive,6,13,0.016086,23.441344,BK0059;BK0167;BK0180;BK0190;BK0231;BK0262
adults,7,8,0.018767,23.253497,BK0021;BK0093;BK0111;BK0137;BK0139;BK0173;BK0246
advances,7,8,0.018767,23.253497,BK0053;BK0057;BK0125;BK0283;BK0336;BK0340;BK0348
amounts,7,8,0.018767,23.253497,BK0094;BK0112;BK0168;BK0197;BK0250;BK0263;BK0274
antigenic,7,8,0.018767,23.253497,BK0062;BK0176;BK0204;BK0312;BK0324;BK0361;BK0366
application,7,8,0.018767,23.253497,BK0057;BK0114;BK0145;BK0186;BK0204;BK0256;BK0364
collision,7,8,0.018767,23.253497,BK0074;BK0281;BK0282;BK0309;BK0312;BK0316;BK0321
compound,7,8,0.018767,23.253497,BK0042;BK0056;BK0092;BK0227;BK0257;BK0324;BK0364
conjugation,7,8,0.018767,23.253497,BK0009;BK0091;BK0141;BK0212;BK0278;BK0323;BK0354
date,7,8,0.018767,23.253497,BK0031;BK0120;BK0137;BK0185;BK0239;BK0342;BK0364
deubiquitinases,7,8,0.018767,23.253497,BK0028;BK0035;BK0076;BK0077;BK0165;BK0177;BK0194
efficacy,7,8,0.018767,23.253497,BK0007;BK0025;BK0056;BK0134;BK0161;BK0289;BK0290
immunological,7,8,0.018767,23.253497,BK0010;BK0102;BK0103;BK0119;BK0227;BK0263;BK0283
interferon,7,8,0.018767,23.253497,BK0009;BK0043;BK0044;BK0061;BK0062;BK0080;BK0133
kda,7,8,0.018767,23.253497,BK0090;BK0168;BK0224;BK0303;BK0363;BK0372;BK0373
krebs,7,8,0.018767,23.253497,BK0160;BK0166;BK0208;BK0229;BK0237;BK0271;BK0287
mediates,7,8,0.018767,23.253497,BK0021;BK0031;BK0158;BK0175;BK0196;BK0211;BK0245
member,7,8,0.018767,23.253497,BK0004;BK0033;BK0246;BK0252;BK0291;BK0306;BK0322
much,7,8,0.018767,23.253497,BK0002;BK0006;BK0028;BK0086;BK0113;BK0199;BK0361
organs,7,8,0.018767,23.253497,BK0046;BK0064;BK0088;BK0140;BK0171;BK0206;BK0260
panel,7,8,0.018767,23.253497,BK0037;BK0056;BK0217;BK0227;BK0292;BK0341;BK0359
polypeptides,7,8,0.018767,23.253497,BK0213;BK0220;BK0286;BK0325;BK0354;BK0356;BK0363
prospectively,7,8,0.018767,23.253497,BK0023;BK0051;BK0124;BK0138;BK0239;BK0266;BK0271
reporter,7,8,0.018767,23.253497,BK0096;BK0164;BK0224;BK0246;BK0296;BK0315;BK0340
sensing,7,8,0.018767,23.253497,BK0009;BK0061;BK0062;BK0097;BK0130;BK0170;BK0314
size,7,8,0.018767,23.253497,BK0082;BK0116;BK0145;BK0148;BK0210;BK0358;BK0364
triggered,7,8,0.018767,23.253497,BK0058;BK0065;BK0097;BK0170;BK0186;BK0198;BK0341
ubiquitinated,7,8,0.018767,23.253497,BK0055;BK0069;BK0177;BK0232;BK0249;BK0313;BK0338
validate,7,8,0.018767,23.253497,BK0012;BK0124;BK0137;BK0176;BK0219;BK0220;BK0241
worldwide,7,8,0.018767,23.253497,BK0003;BK0034;BK0037;BK0093;BK0124;BK0239;BK0241
hla,5,23,0.013405,23.219281,BK0010;BK0125;BK0176;BK0204;BK0312
epithelial,6,12,0.016086,22.84413,BK0101;BK0123;BK0211;BK0322;BK0330;BK0345
joint,6,12,0.016086,22.84413,BK0024;BK0154;BK0172;BK0227;BK0230;BK0311
metastatic,6,12,0.016086,22.84413,BK0113;BK0123;BK0191;BK0209;BK0211;BK0321
monocytes,6,12,0.016086,22.84413,BK0050;BK0078;BK0259;BK0300;BK0306;BK0312
recombination,6,12,0.016086,22.84413,BK0026;BK0071;BK0119;BK0158;BK0216;BK0261
polycomb,5,21,0.013405,22.61781,BK0167;BK0180;BK0190;BK0231;BK0262
infected,6,11,0.016086,22.202638,BK0089;BK0137;BK0176;BK0204;BK0254;BK0282
melanogaster,6,11,0.016086,22.202638,BK0021;BK0064;BK0086;BK0098;BK0106;BK0114
neurological,6,11,0.016086,22.202638,BK0017;BK0038;BK0090;BK0137;BK0138;BK0145
retention,6,11,0.016086,22.202638,BK0130;BK0142;BK0154;BK0172;BK0222;BK0230
achieve,7,7,0.018767,22.189475,BK0003;BK0073;BK0084;BK0159;BK0190;BK0222;BK0337
alter,7,7,0.018767,22.189475,BK0016;BK0040;BK0066;BK0079;BK0148;BK0361;BK0370
area,7,7,0.018767,22.189475,BK0051;BK0093;BK0219;BK0256;BK0257;BK0294;BK0295
aspects,7,7,0.018767,22.189475,BK0001;BK0112;BK0117;BK0179;BK0238;BK0267;BK0309
attractive,7,7,0.018767,22.189475,BK0043;BK0055;BK0131;BK0155;BK0281;BK0323;BK0338
biopsies,7,7,0.018767,22.189475,BK0047;BK0051;BK0061;BK0070;BK0075;BK0116;BK0150
cascade,7,7,0.018767,22.189475,BK0009;BK0062;BK0137;BK0138;BK0170;BK0209;BK0247
clinically,7,7,0.018767,22.189475,BK0034;BK0124;BK0175;BK0195;BK0219;BK0283;BK0329
complete,7,7,0.018767,22.189475,BK0030;BK0053;BK0119;BK0286;BK0341;BK0352;BK0373
conclude,7,7,0.018767,22.189475,BK0075;BK0144;BK0221;BK0313;BK0351;BK0364;BK0366
consequence,7,7,0.018767,22.189475,BK0126;BK0184;BK0223;BK0319;BK0320;BK0336;BK0349
consequences,7,7,0.018767,22.189475,BK0016;BK0086;BK0171;BK0233;BK0242;BK0250;BK0263
contributing,7,7,0.018767,22.189475,BK0014;BK0034;BK0040;BK0066;BK0075;BK0078;BK0184
conventional,7,7,0.018767,22.189475,BK0033;BK0062;BK0116;BK0251;BK0316;BK0334;BK0337
core,7,7,0.018767,22.189475,BK0082;BK0089;BK0119;BK0130;BK0142;BK0274;BK0297
defense,7,7,0.018767,22.189475,BK0014;BK0054;BK0058;BK0176;BK0220;BK0298;BK0303
detect,7,7,0.018767,22.189475,BK0002;BK0039;BK0099;BK0103;BK0257;BK0313;BK0356
discovered,7,7,0.018767,22.189475,BK0051;BK0055;BK0149;BK0199;BK0265;BK0338;BK0348
drives,7,7,0.018767,22.189475,BK0007;BK0010;BK0058;BK0059;BK0231;BK0287;BK0301
focus,7,7,0.018767,22.189475,BK0021;BK0057;BK0169;BK0174;BK0217;BK0256;BK0260
frequently,7,7,0.018767,22.189475,BK0163;BK0174;BK0184;BK0205;BK0232;BK0252;BK0314
hallmark,7,7,0.018767,22.189475,BK0016;BK0020;BK0025;BK0028;BK0049;BK0063;BK0203
heavy,7,7,0.018767,22.189475,BK0005;BK0011;BK0063;BK0070;BK0122;BK0257;BK0335
highlighting,7,7,0.018767,22.189475,BK0004;BK0007;BK0012;BK0016;BK0021;BK0062;BK0148
highlights,7,7,0.018767,22.189475,BK0005;BK0048;BK0077;BK0079;BK0080;BK0289;BK0311
hypothesis,7,7,0.018767,22.189475,BK0038;BK0063;BK0083;BK0254;BK0312;BK0330;BK0371
independently,7,7,0.018767,22.189475,BK0027;BK0084;BK0100;BK0221;BK0232;BK0241;BK0358
influences,7,7,0.018767,22.189475,BK0011;BK0196;BK0215;BK0232;BK0238;BK0252;BK0280
inhibit,7,7,0.018767,22.189475,BK0019;BK0165;BK0195;BK0227;BK0259;BK0298;BK0302
inhibits,7,7,0.018767,22.189475,BK0061;BK0076;BK0101;BK0118;BK0251;BK0265;BK0309
insight,7,7,0.018767,22.189475,BK0006;BK0025;BK0095;BK0178;BK0267;BK0322;BK0364
intervention,7,7,0.018767,22.189475,BK0007;BK0017;BK0052;BK0054;BK0081;BK0270;BK0292
interventions,7,7,0.018767,22.189475,BK0061;BK0086;BK0108;BK0137;BK0173;BK0186;BK0283
introduction,7,7,0.018767,22.189475,BK0002;BK0003;BK0057;BK0206;BK0248;BK0263;BK0340
light,7,7,0.018767,22.189475,BK0013;BK0053;BK0175;BK0189;BK0282;BK0320;BK0344
little,7,7,0.018767,22.189475,BK0042;BK0045;BK0172;BK0282;BK0324;BK0333;BK0345
main,7,7,0.018767,22.189475,BK0054;BK0081;BK0098;BK0174;BK0193;BK0292;BK0333
majority,7,7,0.018767,22.189475,BK0052;BK0127;BK0137;BK0205;BK0289;BK0324;BK0334
measured,7,7,0.018767,22.189475,BK0021;BK0082;BK0084;BK0149;BK0211;BK0236;BK0351
newly,7,7,0.018767,22.189475,BK0077;BK0117;BK0158;BK0201;BK0251;BK0293;BK0348
possibility,7,7,0.018767,22.189475,BK0108;BK0150;BK0153;BK0199;BK0252;BK0316;BK0369
profound,7,7,0.018767,22.189475,BK0201;BK0202;BK0229;BK0263;BK0353;BK0364;BK0371
promising,7,7,0.018767,22.189475,BK0007;BK0012;BK0028;BK0037;BK0076;BK0155;BK0239
protocols,7,7,0.018767,22.189475,BK0046;BK0052;BK0109;BK0120;BK0150;BK0152;BK0166
question,7,7,0.018767,22.189475,BK0015;BK0084;BK0090;BK0177;BK0221;BK0315;BK0332
reactivity,7,7,0.018767,22.189475,BK0128;BK0132;BK0181;BK0235;BK0317;BK0341;BK0358
relationship,7,7,0.018767,22.189475,BK0073;BK0100;BK0154;BK0168;BK0206;BK0221;BK0373
serve,7,7,0.018767,22.189475,BK0025;BK0117;BK0163;BK0181;BK0208;BK0271;BK0322
short,7,7,0.018767,22.189475,BK0016;BK0019;BK0073;BK0104;BK0178;BK0364;BK0373
standard,7,7,0.018767,22.189475,BK0002;BK0035;BK0159;BK0166;BK0189;BK0266;BK0274
steps,7,7,0.018767,22.189475,BK0030;BK0208;BK0224;BK0249;BK0300;BK0307;BK0310
strongly,7,7,0.018767,22.189475,BK0177;BK0198;BK0246;BK0275;BK0331;BK0366;BK0371
suitable,7,7,0.018767,22.189475,BK0002;BK0006;BK0132;BK0156;BK0266;BK0270;BK0337
synthesized,7,7,0.018767,22.189475,BK0201;BK0204;BK0218;BK0293;BK0331;BK0343;BK0363
therapeutics,7,7,0.018767,22.189475,BK0013;BK0028;BK0080;BK0132;BK0210;BK0211;BK0283
therapies,7,7,0.018767,22.189475,BK0012;BK0034;BK0048;BK0095;BK0247;BK0251;BK0342
times,7,7,0.018767,22.189475,BK0008;BK0056;BK0111;BK0186;BK0188;BK0222;BK0337
transcriptomic,7,7,0.018767,22.189475,BK0015;BK0050;BK0061;BK0078;BK0095;BK0114;BK0214
treating,7,7,0.018767,22.189475,BK0022;BK0024;BK0153;BK0227;BK0239;BK0283;BK0344
treatments,7,7,0.018767,22.189475,BK0032;BK0034;BK0037;BK0172;BK0173;BK0283;BK0322
utility,7,7,0.018767,22.189475,BK0093;BK0116;BK0251;BK0313;BK0337;BK0346;BK0356
utilized,7,7,0.018767,22.189475,BK0102;BK0166;BK0176;BK0196;BK0258;BK0272;BK0299
widely,7,7,0.018767,22.189475,BK0090;BK0125;BK0155;BK0205;BK0285;BK0319;BK0362
rats,5,19,0.013405,21.961587,BK0221;BK0304;BK0329;BK0347;BK0351
diabetes,5,18,0.013405,21.60964,BK0160;BK0171;BK0198;BK0221;BK0227
fumarate,5,18,0.013405,21.60964,BK0160;BK0229;BK0237;BK0271;BK0287
actin,6,10,0.016086,21.509775,BK0047;BK0072;BK0083;BK0209;BK0260;BK0308
ion,6,10,0.016086,21.509775,BK0017;BK0020;BK0159;BK0189;BK0333;BK0337
iron,6,10,0.016086,21.509775,BK0078;BK0237;BK0277;BK0286;BK0314;BK0329
oxygenases,6,10,0.016086,21.509775,BK0169;BK0223;BK0226;BK0270;BK0277;BK0288
positive,6,10,0.016086,21.509775,BK0020;BK0077;BK0094;BK0128;BK0240;BK0298
protocol,6,10,0.016086,21.509775,BK0030;BK0120;BK0174;BK0266;BK0299;BK0364
prostate,5,17,0.013405,21.239638,BK0064;BK0211;BK0302;BK0321;BK0325
usp18,5,16,0.013405,20.849625,BK0009;BK0044;BK0045;BK0054;BK0062
agent,6,9,0.016086,20.75659,BK0009;BK0131;BK0155;BK0173;BK0272;BK0334
autoimmunity,6,9,0.016086,20.75659,BK0125;BK0206;BK0240;BK0255;BK0309;BK0330
carcinoma,6,9,0.016086,20.75659,BK0062;BK0065;BK0076;BK0195;BK0241;BK0302
failure,6,9,0.016086,20.75659,BK0032;BK0090;BK0150;BK0154;BK0172;BK0325
lactate,6,9,0.016086,20.75659,BK0008;BK0093;BK0100;BK0166;BK0197;BK0239
macrophage,6,9,0.016086,20.75659,BK0050;BK0058;BK0112;BK0122;BK0124;BK0133
months,6,9,0.016086,20.75659,BK0051;BK0129;BK0139;BK0154;BK0304;BK0329
older,6,9,0.016086,20.75659,BK0086;BK0111;BK0139;BK0150;BK0188;BK0197
separation,6,9,0.016086,20.75659,BK0109;BK0166;BK0222;BK0248;BK0337;BK0352
silencing,6,9,0.016086,20.75659,BK0153;BK0164;BK0167;BK0180;BK0218;BK0262
termination,6,9,0.016086,20.75659,BK0067;BK0070;BK0099;BK0223;BK0225;BK0226
translocation,6,9,0.016086,20.75659,BK0149;BK0182;BK0198;BK0228;BK0317;BK0367
transplantation,6,9,0.016086,20.75659,BK0008;BK0052;BK0116;BK0197;BK0254;BK0299
tyrosine,6,9,0.016086,20.75659,BK0090;BK0096;BK0310;BK0322;BK0351;BK0367
undergoing,6,9,0.016086,20.75659,BK0008;BK0014;BK0023;BK0198;BK0292;BK0294
pain,5,15,0.013405,20.437314,BK0011;BK0017;BK0078;BK0134;BK0292
prc1,5,15,0.013405,20.437314,BK0167;BK0180;BK0190;BK0231;BK0262
ankyrin,5,14,0.013405,20.0,BK0273;BK0279;BK0286;BK0316;BK0327
falciparum,5,14,0.013405,20.0,BK0012;BK0138;BK0219;BK0239;BK0266
succination,5,14,0.013405,20.0,BK0160;BK0229;BK0237;BK0271;BK0287
cerevisiae,6,8,0.016086,19.931569,BK0099;BK0205;BK0223;BK0225;BK0276;BK0296
collected,6,8,0.016086,19.931569,BK0014;BK0023;BK0049;BK0051;BK0173;BK0199
commonly,6,8,0.016086,19.931569,BK0093;BK0173;BK0195;BK0200;BK0361;BK0364
composed,6,8,0.016086,19.931569,BK0098;BK0135;BK0217;BK0371;BK0372;BK0373
correlates,6,8,0.016086,19.931569,BK0051;BK0058;BK0131;BK0237;BK0250;BK0317
deletion,6,8,0.016086,19.931569,BK0062;BK0076;BK0095;BK0160;BK0223;BK0246
homology,6,8,0.016086,19.931569,BK0012;BK0144;BK0181;BK0215;BK0338;BK0359
inducing,6,8,0.016086,19.931569,BK0036;BK0048;BK0065;BK0125;BK0247;BK0347
intermediate,6,8,0.016086,19.931569,BK0148;BK0158;BK0229;BK0235;BK0250;BK0358
mapping,6,8,0.016086,19.931569,BK0002;BK0017;BK0039;BK0085;BK0134;BK0313
migration,6,8,0.016086,19.931569,BK0113;BK0123;BK0124;BK0126;BK0164;BK0209
optimized,6,8,0.016086,19.931569,BK0080;BK0113;BK0207;BK0222;BK0239;BK0266
pathogen,6,8,0.016086,19.931569,BK0038;BK0053;BK0120;BK0131;BK0151;BK0323
pathophysiology,6,8,0.016086,19.931569,BK0067;BK0129;BK0137;BK0189;BK0236;BK0263
proteasomes,6,8,0.016086,19.931569,BK0138;BK0283;BK0304;BK0342;BK0364;BK0365
secondary,6,8,0.016086,19.931569,BK0063;BK0098;BK0170;BK0236;BK0260;BK0267
synthase,6,8,0.016086,19.931569,BK0070;BK0112;BK0117;BK0141;BK0203;BK0303
dcs,5,13,0.013405,19.534453,BK0163;BK0170;BK0259;BK0298;BK0326
body,5,12,0.013405,19.036775,BK0005;BK0129;BK0171;BK0177;BK0291
female,5,12,0.013405,19.036775,BK0021;BK0064;BK0098;BK0114;BK0171
hiv,5,12,0.013405,19.036775,BK0173;BK0259;BK0289;BK0298;BK0326
interactome,5,12,0.013405,19.036775,BK0031;BK0044;BK0073;BK0079;BK0232
translational,5,12,0.013405,19.036775,BK0078;BK0135;BK0223;BK0225;BK0226
ubl,5,12,0.013405,19.036775,BK0002;BK0323;BK0336;BK0348;BK0354
accessible,6,7,0.016086,19.01955,BK0159;BK0187;BK0193;BK0200;BK0207;BK0364
activating,6,7,0.016086,19.01955,BK0012;BK0029;BK0191;BK0334;BK0347;BK0355
advanced,6,7,0.016086,19.01955,BK0002;BK0046;BK0057;BK0062;BK0103;BK0209
analytical,6,7,0.016086,19.01955,BK0002;BK0091;BK0109;BK0176;BK0199;BK0222
availability,6,7,0.016086,19.01955,BK0003;BK0092;BK0117;BK0141;BK0267;BK0297
balance,6,7,0.016086,19.01955,BK0008;BK0028;BK0136;BK0141;BK0148;BK0208
cascades,6,7,0.016086,19.01955,BK0029;BK0070;BK0129;BK0191;BK0242;BK0255
characterise,6,7,0.016086,19.01955,BK0003;BK0046;BK0126;BK0180;BK0182;BK0263
conformation,6,7,0.016086,19.01955,BK0060;BK0147;BK0168;BK0183;BK0195;BK0358
consequently,6,7,0.016086,19.01955,BK0024;BK0062;BK0072;BK0076;BK0265;BK0269
dehydrogenase,6,7,0.016086,19.01955,BK0044;BK0075;BK0100;BK0229;BK0239;BK0303
depth,6,7,0.016086,19.01955,BK0027;BK0046;BK0103;BK0125;BK0145;BK0159
deubiquitylation,6,7,0.016086,19.01955,BK0092;BK0118;BK0216;BK0253;BK0293;BK0331
dysregulation,6,7,0.016086,19.01955,BK0025;BK0028;BK0047;BK0083;BK0174;BK0287
electrophoresis,6,7,0.016086,19.01955,BK0128;BK0206;BK0312;BK0329;BK0337;BK0352
enhances,6,7,0.016086,19.01955,BK0009;BK0062;BK0145;BK0162;BK0265;BK0301
evolution,6,7,0.016086,19.01955,BK0015;BK0098;BK0106;BK0246;BK0323;BK0371
feedback,6,7,0.016086,19.01955,BK0094;BK0133;BK0240;BK0242;BK0285;BK0291
fusion,6,7,0.016086,19.01955,BK0030;BK0159;BK0183;BK0286;BK0308;BK0317
homolog,6,7,0.016086,19.01955,BK0158;BK0192;BK0223;BK0315;BK0358;BK0363
inactivation,6,7,0.016086,19.01955,BK0069;BK0076;BK0225;BK0261;BK0268;BK0287
influencing,6,7,0.016086,19.01955,BK0021;BK0208;BK0215;BK0252;BK0281;BK0351
lethal,6,7,0.016086,19.01955,BK0131;BK0135;BK0200;BK0267;BK0362;BK0365
loop,6,7,0.016086,19.01955,BK0104;BK0133;BK0195;BK0242;BK0291;BK0302
maintenance,6,7,0.016086,19.01955,BK0028;BK0045;BK0072;BK0212;BK0331;BK0362
markedly,6,7,0.016086,19.01955,BK0113;BK0129;BK0144;BK0177;BK0239;BK0301
modifies,6,7,0.016086,19.01955,BK0044;BK0133;BK0177;BK0224;BK0287;BK0363
organisation,6,7,0.016086,19.01955,BK0011;BK0039;BK0085;BK0126;BK0150;BK0209
otub1,4,25,0.010724,19.01955,BK0211;BK0213;BK0306;BK0317
rates,6,7,0.016086,19.01955,BK0136;BK0154;BK0205;BK0337;BK0351;BK0365
reduces,6,7,0.016086,19.01955,BK0032;BK0061;BK0123;BK0177;BK0232;BK0242
scaffold,6,7,0.016086,19.01955,BK0018;BK0025;BK0108;BK0110;BK0227;BK0336
shared,6,7,0.016086,19.01955,BK0016;BK0033;BK0151;BK0255;BK0289;BK0323
success,6,7,0.016086,19.01955,BK0021;BK0064;BK0086;BK0124;BK0154;BK0172
tag,6,7,0.016086,19.01955,BK0002;BK0038;BK0096;BK0144;BK0258;BK0270
unlike,6,7,0.016086,19.01955,BK0119;BK0163;BK0177;BK0193;BK0255;BK0364
vesicle,6,7,0.016086,19.01955,BK0020;BK0050;BK0079;BK0082;BK0145;BK0242
workflows,6,7,0.016086,19.01955,BK0002;BK0006;BK0013;BK0125;BK0248;BK0274
ankylosing,5,11,0.013405,18.502199,BK0218;BK0255;BK0257;BK0275;BK0312
atp,5,11,0.013405,18.502199,BK0136;BK0160;BK0203;BK0290;BK0303
digestion,5,11,0.013405,18.502199,BK0002;BK0150;BK0282;BK0299;BK0352
disruption,5,11,0.013405,18.502199,BK0096;BK0110;BK0137;BK0149;BK0328
fraction,5,11,0.013405,18.502199,BK0016;BK0020;BK0056;BK0222;BK0357
fragments,5,11,0.013405,18.502199,BK0047;BK0063;BK0090;BK0186;BK0298
learning,5,11,0.013405,18.502199,BK0003;BK0037;BK0038;BK0139;BK0238
males,5,11,0.013405,18.502199,BK0021;BK0064;BK0086;BK0106;BK0114
redox,5,11,0.013405,18.502199,BK0148;BK0208;BK0229;BK0308;BK0329
spondylitis,5,11,0.013405,18.502199,BK0218;BK0255;BK0257;BK0275;BK0312
sfps,4,21,0.010724,18.094248,BK0021;BK0098;BK0106;BK0114
access,6,6,0.016086,18.0,BK0137;BK0161;BK0187;BK0248;BK0297;BK0360
activator,6,6,0.016086,18.0,BK0041;BK0203;BK0296;BK0302;BK0312;BK0320
adjacent,6,6,0.016086,18.0,BK0005;BK0113;BK0123;BK0132;BK0140;BK0344
alone,6,6,0.016086,18.0,BK0041;BK0220;BK0251;BK0334;BK0358;BK0360
appears,6,6,0.016086,18.0,BK0152;BK0296;BK0305;BK0338;BK0343;BK0364
applications,6,6,0.016086,18.0,BK0174;BK0227;BK0295;BK0336;BK0337;BK0346
attachment,6,6,0.016086,18.0,BK0091;BK0108;BK0250;BK0258;BK0323;BK0340
budding,6,6,0.016086,18.0,BK0060;BK0099;BK0102;BK0276;BK0296;BK0331
catalyzed,6,6,0.016086,18.0,BK0250;BK0273;BK0277;BK0309;BK0315;BK0343
cavity,6,6,0.016086,18.0,BK0078;BK0163;BK0183;BK0307;BK0358;BK0366
challenge,6,6,0.016086,18.0,BK0043;BK0105;BK0217;BK0220;BK0289;BK0309
clearly,6,6,0.016086,18.0,BK0116;BK0171;BK0291;BK0321;BK0323;BK0369
closely,6,6,0.016086,18.0,BK0025;BK0143;BK0168;BK0223;BK0267;BK0366
comparative,6,6,0.016086,18.0,BK0085;BK0120;BK0177;BK0274;BK0281;BK0286
complementary,6,6,0.016086,18.0,BK0024;BK0112;BK0114;BK0182;BK0311;BK0366
concomitant,6,6,0.016086,18.0,BK0045;BK0104;BK0117;BK0148;BK0276;BK0306
considered,6,6,0.016086,18.0,BK0025;BK0131;BK0204;BK0227;BK0283;BK0316
corresponding,6,6,0.016086,18.0,BK0149;BK0163;BK0209;BK0316;BK0342;BK0363
depend,6,6,0.016086,18.0,BK0045;BK0077;BK0080;BK0100;BK0215;BK0260
disorder,6,6,0.016086,18.0,BK0013;BK0111;BK0129;BK0263;BK0283;BK0335
double,6,6,0.016086,18.0,BK0024;BK0036;BK0071;BK0130;BK0278;BK0358
elusive,6,6,0.016086,18.0,BK0033;BK0046;BK0048;BK0142;BK0149;BK0202
employed,6,6,0.016086,18.0,BK0137;BK0204;BK0205;BK0214;BK0257;BK0286
example,6,6,0.016086,18.0,BK0032;BK0084;BK0087;BK0125;BK0165;BK0257
existence,6,6,0.016086,18.0,BK0033;BK0044;BK0090;BK0183;BK0328;BK0372
existing,6,6,0.016086,18.0,BK0037;BK0099;BK0116;BK0267;BK0271;BK0274
extend,6,6,0.016086,18.0,BK0048;BK0201;BK0331;BK0337;BK0347;BK0358
fate,6,6,0.016086,18.0,BK0091;BK0179;BK0212;BK0313;BK0323;BK0340
glycoprotein,6,6,0.016086,18.0,BK0150;BK0183;BK0186;BK0220;BK0303;BK0352
health,6,6,0.016086,18.0,BK0055;BK0076;BK0101;BK0124;BK0189;BK0219
hypothesized,6,6,0.016086,18.0,BK0047;BK0178;BK0222;BK0247;BK0271;BK0330
iii,6,6,0.016086,18.0,BK0024;BK0051;BK0071;BK0106;BK0159;BK0200
increasingly,6,6,0.016086,18.0,BK0153;BK0155;BK0174;BK0175;BK0176;BK0340
instead,6,6,0.016086,18.0,BK0024;BK0058;BK0107;BK0199;BK0217;BK0321
knockout,6,6,0.016086,18.0,BK0009;BK0036;BK0073;BK0129;BK0260;BK0269
length,6,6,0.016086,18.0,BK0023;BK0139;BK0166;BK0218;BK0275;BK0291
lysates,6,6,0.016086,18.0,BK0044;BK0222;BK0284;BK0337;BK0354;BK0355
marker,6,6,0.016086,18.0,BK0077;BK0078;BK0145;BK0150;BK0239;BK0292
mechanistically,6,6,0.016086,18.0,BK0019;BK0069;BK0110;BK0142;BK0175;BK0262
mediator,6,6,0.016086,18.0,BK0064;BK0110;BK0112;BK0134;BK0141;BK0310
methodologies,6,6,0.016086,18.0,BK0002;BK0011;BK0056;BK0109;BK0174;BK0182
modulating,6,6,0.016086,18.0,BK0009;BK0064;BK0085;BK0208;BK0213;BK0298
negatively,6,6,0.016086,18.0,BK0009;BK0027;BK0032;BK0092;BK0164;BK0273
nucleus,6,6,0.016086,18.0,BK0083;BK0168;BK0182;BK0192;BK0300;BK0353
objectives,6,6,0.016086,18.0,BK0005;BK0093;BK0124;BK0181;BK0263;BK0312
observe,6,6,0.016086,18.0,BK0004;BK0048;BK0084;BK0101;BK0146;BK0180
opportunities,6,6,0.016086,18.0,BK0018;BK0021;BK0048;BK0061;BK0067;BK0077
otherwise,6,6,0.016086,18.0,BK0008;BK0165;BK0247;BK0276;BK0308;BK0365
parameters,6,6,0.016086,18.0,BK0056;BK0066;BK0124;BK0129;BK0164;BK0339
pattern,6,6,0.016086,18.0,BK0045;BK0054;BK0186;BK0201;BK0329;BK0345
per,6,6,0.016086,18.0,BK0021;BK0032;BK0046;BK0076;BK0131;BK0172
points,6,6,0.016086,18.0,BK0054;BK0067;BK0174;BK0185;BK0295;BK0298
powerful,6,6,0.016086,18.0,BK0013;BK0118;BK0125;BK0255;BK0256;BK0312
prevents,6,6,0.016086,18.0,BK0026;BK0101;BK0157;BK0191;BK0265;BK0280
proper,6,6,0.016086,18.0,BK0026;BK0083;BK0192;BK0228;BK0285;BK0291
receptors,6,6,0.016086,18.0,BK0155;BK0183;BK0193;BK0301;BK0327;BK0341
reflect,6,6,0.016086,18.0,BK0020;BK0139;BK0210;BK0252;BK0267;BK0354
reflects,6,6,0.016086,18.0,BK0002;BK0145;BK0252;BK0280;BK0320;BK0330
representing,6,6,0.016086,18.0,BK0131;BK0166;BK0179;BK0199;BK0329;BK0331
spectrometric,6,6,0.016086,18.0,BK0115;BK0143;BK0168;BK0223;BK0234;BK0322
state,6,6,0.016086,18.0,BK0022;BK0183;BK0223;BK0260;BK0269;BK0280
stroke,6,6,0.016086,18.0,BK0017;BK0023;BK0197;BK0247;BK0294;BK0335
successful,6,6,0.016086,18.0,BK0154;BK0155;BK0186;BK0251;BK0289;BK0333
successfully,6,6,0.016086,18.0,BK0013;BK0027;BK0081;BK0313;BK0337;BK0348
terminus,6,6,0.016086,18.0,BK0042;BK0168;BK0226;BK0234;BK0344;BK0359
thought,6,6,0.016086,18.0,BK0078;BK0150;BK0172;BK0206;BK0220;BK0347
transition,6,6,0.016086,18.0,BK0123;BK0146;BK0183;BK0185;BK0199;BK0277
trials,6,6,0.016086,18.0,BK0057;BK0122;BK0124;BK0129;BK0148;BK0342
triggers,6,6,0.016086,18.0,BK0019;BK0058;BK0183;BK0240;BK0251;BK0319
unbiased,6,6,0.016086,18.0,BK0027;BK0039;BK0121;BK0196;BK0220;BK0308
uncover,6,6,0.016086,18.0,BK0026;BK0031;BK0048;BK0101;BK0130;BK0141
whilst,6,6,0.016086,18.0,BK0020;BK0028;BK0046;BK0068;BK0082;BK0136
