term,documentFrequency,termFrequency,documentShare,score,sourceIds
therapeutic,43,46,0.115282,240.153388,BK0004;BK0009;BK0011;BK0013;BK0017;BK0018;BK0019;BK0022
immune,40,61,0.107239,239.091197,BK0003;BK0009;BK0014;BK0023;BK0034;BK0039;BK0040;BK0045
known,42,49,0.112601,238.241864,BK0012;BK0021;BK0029;BK0036;BK0042;BK0045;BK0055;BK0068
processes,42,48,0.112601,237.04196,BK0004;BK0005;BK0009;BK0020;BK0028;BK0047;BK0055;BK0067
peptides,37,80,0.099196,235.229424,BK0002;BK0019;BK0055;BK0063;BK0080;BK0108;BK0125;BK0131
addition,42,44,0.112601,231.989602,BK0005;BK0011;BK0013;BK0026;BK0033;BK0037;BK0069;BK0087
inhibitors,37,75,0.099196,231.871102,BK0018;BK0019;BK0025;BK0032;BK0035;BK0042;BK0046;BK0056
required,40,53,0.107239,231.254389,BK0002;BK0026;BK0035;BK0071;BK0090;BK0094;BK0097;BK0119
reduced,38,65,0.101877,230.511389,BK0016;BK0017;BK0022;BK0032;BK0045;BK0046;BK0051;BK0064
functional,40,52,0.107239,230.1955,BK0005;BK0012;BK0015;BK0033;BK0042;BK0073;BK0077;BK0079
residues,39,56,0.104558,228.461259,BK0002;BK0096;BK0105;BK0108;BK0123;BK0133;BK0141;BK0144
responses,37,64,0.099196,223.642582,BK0015;BK0021;BK0040;BK0044;BK0050;BK0055;BK0058;BK0061
multiple,40,46,0.107239,223.3985,BK0006;BK0017;BK0022;BK0032;BK0043;BK0071;BK0083;BK0085
clinical,38,55,0.101877,221.649821,BK0020;BK0023;BK0024;BK0027;BK0034;BK0068;BK0070;BK0081
treatment,37,56,0.099196,216.745297,BK0017;BK0018;BK0025;BK0032;BK0043;BK0054;BK0074;BK0076
small,39,45,0.104558,216.628965,BK0002;BK0021;BK0029;BK0046;BK0056;BK0076;BK0090;BK0091
system,39,45,0.104558,216.628965,BK0012;BK0017;BK0025;BK0026;BK0028;BK0036;BK0045;BK0054
substrates,36,62,0.096515,216.0,BK0002;BK0004;BK0009;BK0018;BK0019;BK0033;BK0044;BK0045
vitro,39,42,0.104558,212.917833,BK0001;BK0009;BK0012;BK0022;BK0033;BK0042;BK0044;BK0047
report,39,40,0.104558,210.300379,BK0025;BK0096;BK0099;BK0100;BK0105;BK0108;BK0115;BK0117
modification,37,49,0.099196,209.879738,BK0002;BK0026;BK0033;BK0042;BK0073;BK0091;BK0098;BK0108
identification,37,47,0.099196,207.744264,BK0011;BK0068;BK0080;BK0113;BK0114;BK0115;BK0130;BK0157
metabolism,35,56,0.093834,205.029335,BK0008;BK0016;BK0043;BK0044;BK0068;BK0070;BK0075;BK0088
beta,33,71,0.088472,204.26421,BK0009;BK0015;BK0030;BK0032;BK0047;BK0059;BK0061;BK0087
antigen,33,64,0.088472,199.465006,BK0007;BK0010;BK0015;BK0034;BK0040;BK0053;BK0058;BK0062
signaling,32,69,0.085791,196.791908,BK0001;BK0007;BK0009;BK0022;BK0034;BK0050;BK0064;BK0065
proteasome,31,77,0.08311,195.417203,BK0005;BK0040;BK0082;BK0108;BK0141;BK0153;BK0158;BK0193
essential,36,41,0.096515,195.345531,BK0012;BK0013;BK0019;BK0029;BK0031;BK0045;BK0064;BK0072
profiling,33,51,0.088472,189.021375,BK0009;BK0012;BK0014;BK0035;BK0042;BK0044;BK0046;BK0056
vivo,34,45,0.091153,188.856021,BK0011;BK0022;BK0028;BK0032;BK0046;BK0047;BK0049;BK0055
quantitative,33,47,0.088472,185.285425,BK0018;BK0029;BK0031;BK0039;BK0058;BK0070;BK0075;BK0088
sites,32,53,0.085791,185.003511,BK0069;BK0071;BK0099;BK0105;BK0108;BK0113;BK0142;BK0157
regulated,34,41,0.091153,184.493002,BK0008;BK0009;BK0028;BK0062;BK0071;BK0083;BK0118;BK0138
alpha,29,76,0.077748,182.276664,BK0015;BK0024;BK0043;BK0047;BK0050;BK0065;BK0071;BK0077
active,32,46,0.085791,178.7188,BK0012;BK0018;BK0042;BK0059;BK0060;BK0075;BK0090;BK0094
transcription,32,46,0.085791,178.7188,BK0017;BK0045;BK0048;BK0059;BK0079;BK0084;BK0090;BK0096
infection,29,69,0.077748,178.342666,BK0007;BK0015;BK0038;BK0058;BK0125;BK0131;BK0137;BK0138
background,34,35,0.091153,177.121414,BK0003;BK0008;BK0011;BK0032;BK0051;BK0052;BK0060;BK0062
genes,31,49,0.08311,175.845186,BK0020;BK0026;BK0028;BK0058;BK0059;BK0077;BK0121;BK0127
protease,31,49,0.08311,175.845186,BK0009;BK0018;BK0042;BK0044;BK0045;BK0054;BK0058;BK0062
form,33,37,0.088472,174.418273,BK0018;BK0024;BK0048;BK0063;BK0071;BK0081;BK0085;BK0101
many,33,37,0.088472,174.418273,BK0037;BK0043;BK0045;BK0058;BK0059;BK0094;BK0111;BK0120
remains,33,36,0.088472,173.181608,BK0023;BK0031;BK0033;BK0034;BK0050;BK0077;BK0084;BK0086
receptor,31,45,0.08311,172.192254,BK0001;BK0031;BK0034;BK0054;BK0064;BK0077;BK0102;BK0128
contribute,33,34,0.088472,170.607525,BK0008;BK0012;BK0029;BK0031;BK0038;BK0044;BK0050;BK0062
normal,30,48,0.080429,169.315686,BK0017;BK0025;BK0043;BK0063;BK0064;BK0072;BK0079;BK0095
regulates,32,36,0.085791,167.93368,BK0041;BK0045;BK0060;BK0090;BK0092;BK0100;BK0112;BK0118
targeting,31,38,0.08311,164.979771,BK0007;BK0009;BK0013;BK0018;BK0019;BK0029;BK0042;BK0054
specificity,31,37,0.08311,163.847469,BK0026;BK0063;BK0089;BK0093;BK0115;BK0119;BK0125;BK0159
biological,30,42,0.080429,163.782949,BK0002;BK0043;BK0047;BK0068;BK0091;BK0105;BK0124;BK0141
processing,29,47,0.077748,162.826585,BK0016;BK0040;BK0053;BK0055;BK0066;BK0067;BK0071;BK0083
characterized,32,32,0.085791,162.798811,BK0013;BK0068;BK0078;BK0081;BK0083;BK0103;BK0129;BK0145
factors,31,36,0.08311,162.685753,BK0011;BK0014;BK0045;BK0066;BK0078;BK0079;BK0084;BK0096
loss,30,40,0.080429,161.769523,BK0019;BK0022;BK0024;BK0074;BK0092;BK0100;BK0107;BK0110
functions,31,34,0.08311,160.267675,BK0010;BK0027;BK0031;BK0034;BK0064;BK0073;BK0097;BK0098
leading,31,33,0.08311,159.007774,BK0003;BK0011;BK0019;BK0024;BK0029;BK0034;BK0037;BK0038
tumor,28,49,0.075067,158.82791,BK0024;BK0034;BK0059;BK0069;BK0095;BK0132;BK0155;BK0162
conditions,30,36,0.080429,157.437825,BK0013;BK0020;BK0021;BK0023;BK0025;BK0029;BK0043;BK0059
understanding,30,35,0.080429,156.283601,BK0010;BK0011;BK0012;BK0014;BK0016;BK0020;BK0021;BK0031
interactions,29,39,0.077748,155.369008,BK0001;BK0012;BK0017;BK0019;BK0021;BK0031;BK0036;BK0054
genetic,29,38,0.077748,154.335915,BK0011;BK0019;BK0024;BK0045;BK0048;BK0073;BK0076;BK0092
elevated,29,36,0.077748,152.189898,BK0008;BK0020;BK0027;BK0064;BK0070;BK0075;BK0078;BK0084
degradation,27,47,0.072386,151.597166,BK0026;BK0047;BK0048;BK0049;BK0055;BK0069;BK0085;BK0107
type,28,38,0.075067,149.013987,BK0009;BK0014;BK0043;BK0050;BK0072;BK0081;BK0107;BK0123
liquid,29,33,0.077748,148.749207,BK0030;BK0037;BK0038;BK0043;BK0051;BK0070;BK0082;BK0093
targeted,29,33,0.077748,148.749207,BK0011;BK0032;BK0043;BK0044;BK0049;BK0054;BK0077;BK0089
stress,26,50,0.069705,148.211433,BK0008;BK0014;BK0032;BK0047;BK0055;BK0059;BK0065;BK0071
viral,26,50,0.069705,148.211433,BK0001;BK0009;BK0015;BK0040;BK0044;BK0054;BK0066;BK0080
interaction,28,37,0.075067,147.991262,BK0009;BK0010;BK0018;BK0019;BK0024;BK0041;BK0079;BK0085
repair,25,58,0.067024,147.672265,BK0014;BK0026;BK0051;BK0069;BK0090;BK0110;BK0119;BK0130
recognition,27,42,0.072386,147.404654,BK0001;BK0004;BK0017;BK0026;BK0048;BK0054;BK0073;BK0091
family,27,41,0.072386,146.509148,BK0001;BK0004;BK0013;BK0018;BK0033;BK0041;BK0096;BK0126
accumulation,29,31,0.077748,146.287429,BK0008;BK0028;BK0050;BK0052;BK0069;BK0088;BK0092;BK0104
mouse,28,35,0.075067,145.864694,BK0017;BK0061;BK0079;BK0084;BK0104;BK0113;BK0127;BK0133
damage,26,45,0.069705,144.41931,BK0004;BK0036;BK0052;BK0055;BK0069;BK0116;BK0138;BK0142
conclusions,29,29,0.077748,143.671693,BK0003;BK0005;BK0008;BK0011;BK0032;BK0052;BK0062;BK0068
describe,29,29,0.077748,143.671693,BK0025;BK0030;BK0036;BK0046;BK0056;BK0060;BK0075;BK0120
altered,28,33,0.075067,143.619924,BK0011;BK0017;BK0027;BK0043;BK0045;BK0050;BK0058;BK0068
critical,28,33,0.075067,143.619924,BK0001;BK0006;BK0022;BK0026;BK0045;BK0067;BK0090;BK0105
acid,26,44,0.069705,143.612611,BK0001;BK0008;BK0023;BK0043;BK0068;BK0088;BK0091;BK0096
formation,27,36,0.072386,141.694043,BK0013;BK0019;BK0033;BK0042;BK0046;BK0064;BK0072;BK0074
diseases,27,35,0.072386,140.655241,BK0009;BK0013;BK0016;BK0020;BK0023;BK0025;BK0031;BK0055
